CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
275916119,12/22/2016,09:00:00,,,01/22/2017,109,GRAND LARCENY,403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,FRONT OF,BAR/NIGHT CLUB,,,992914,214930,40.756613682,-73.968728585,"(40.756613682, -73.968728585)"
157917791,12/22/2016,18:00:00,12/22/2016,19:00:00,01/12/2017,116,SEX CRIMES,168,SODOMY 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,25,INSIDE,OTHER,,,,,,,
754130402,12/22/2016,12:00:00,01/10/2017,07:00:00,01/12/2017,109,GRAND LARCENY,403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,24,,RESIDENCE - APT. HOUSE,,,993499,227675,40.791594778,-73.966599479,"(40.791594778, -73.966599479)"
514578367,12/22/2016,17:00:00,01/10/2017,14:06:00,01/11/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,7,INSIDE,RESIDENCE - APT. HOUSE,,,988664,200228,40.71626346,-73.98407868,"(40.71626346, -73.98407868)"
817538548,12/22/2016,16:20:00,12/22/2016,16:30:00,01/11/2017,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",ATTEMPTED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,CLOTHING/BOUTIQUE,,,997062,223149,40.779167668,-73.953740642,"(40.779167668, -73.953740642)"
981326059,12/22/2016,12:00:00,01/10/2017,17:30:00,01/11/2017,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,25,INSIDE,RESIDENCE - APT. HOUSE,,,999997,230635,40.799709987,-73.943125571,"(40.799709987, -73.943125571)"
306429503,12/22/2016,10:40:00,,,01/10/2017,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,1004163,250657,40.854656251,-73.928019168,"(40.854656251, -73.928019168)"
957837430,12/22/2016,00:01:00,,,01/10/2017,109,GRAND LARCENY,403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,RESIDENCE - APT. HOUSE,,,993931,215259,40.757515648,-73.965057232,"(40.757515648, -73.965057232)"
521259070,12/22/2016,23:00:00,12/23/2016,11:00:00,01/09/2017,104,RAPE,157,RAPE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,RESIDENCE - APT. HOUSE,,,,,,,
837735016,12/22/2016,17:55:00,,,01/09/2017,233,SEX CRIMES,681,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,RESIDENCE - APT. HOUSE,,,,,,,
598264643,12/22/2016,20:00:00,12/24/2016,10:30:00,01/08/2017,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,32,,STREET,,,1001510,237491,40.81852498,-73.93764321,"(40.81852498, -73.93764321)"
299635456,12/22/2016,12:00:00,01/02/2017,12:00:00,01/07/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESIDENCE - APT. HOUSE,,,987992,210462,40.7443536,-73.986497118,"(40.7443536, -73.986497118)"
790700099,12/22/2016,17:00:00,01/04/2017,15:00:00,01/06/2017,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,RESIDENCE - APT. HOUSE,,,987287,220178,40.771021814,-73.989036972,"(40.771021814, -73.989036972)"
280768089,12/22/2016,08:00:00,12/22/2016,20:00:00,01/05/2017,116,SEX CRIMES,177,SEXUAL ABUSE,COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,24,INSIDE,RESIDENCE - PUBLIC HOUSING,,,,,,,
